id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
249240,28118,VTBS,12139,197,ASP,1,0,02R,13.671278,100.734665,,14,,20L,13.703669,100.743179,,194,
239146,26645,VTBU,11500,197,ASP,1,0,18,12.695799827575684,101.00599670410156,59,185,,36,12.66409969329834,101.00399780273438,25,5,
239167,26647,VTCC,11155,148,ASP,1,0,18,18.78375816345215,98.96292114257812,1036,180,,36,18.753042221069336,98.96285247802734,1007,,
239164,26653,VTCT,9843,148,ASP,1,0,03,19.940500259399414,99.8759994506836,1280,29,,21,19.96419906616211,99.88990020751953,1275,209,
239139,26669,VTSG,9842,148,ASP,1,0,14,8.106470108032227,98.9801025390625,82,140.6,,32,8.09175968170166,98.99220275878906,77,320.6,
239161,26672,VTSM,6759,148,ASP,1,0,17,9.557209968566895,100.06199645996094,43,174.5,853,35,9.53866958618164,100.06300354003906,56,354.5,983
239172,26674,VTSP,10171,148,ASP,1,0,09,8.11199,98.3033,19,85,164,27,8.11451,98.33042,82,265,164
239178,26676,VTSS,10007,148,ASP,1,0,08,6.930830001831055,100.37899780273438,65,83,,26,6.934189796447754,100.40699768066406,58,263,
239185,26678,VTUD,10000,148,ASP,1,0,12,17.3927001953125,102.7750015258789,579,117,,30,17.380199432373047,102.8010025024414,579,297,
246169,26692,VVCI,10007,164,ASP,1,0,07,20.816099,106.713997,13,72,,25,20.822701,106.736,13,252,
246165,26693,VVCR,10000,148,CON,1,0,02L,11.985069,109.214798,33,19,,20R,12.011178,109.223846,33,199,
335528,26693,VVCR,10000,150,CON,0,0,02R,11.981624603271484,109.21656036376953,15,,,20L,12.007702827453613,109.22560119628906,35,,
246171,26695,VVCT,9843,148,ASP,1,0,06,10.0797,105.702003,,60,,24,10.0906,105.721001,,240,
246164,26697,VVDN,11483,148,ASP,1,0,17L,16.05769920349121,108.197998046875,30,172,,35R,16.030399322509766,108.2020034790039,36,352,
246163,26697,VVDN,10000,148,ASP,0,0,17R,16.05739974975586,108.19599914550781,26,172,,35L,16.030099868774414,108.19999694824219,28,352,
246160,26700,VVNB,10499,148,CON,1,0,11L,21.2255,105.792,40,107,,29R,21.216499,105.822998,40,287,
246159,26700,VVNB,12466,148,CON,1,0,11R,21.224957,105.785431,38,107,,29L,21.214323,105.82222,39,287,
246182,26705,VVPQ,9843,150,ASP,1,0,10,10.171199798583984,103.97899627685547,,96,,28,10.168499946594238,104.00700378417969,,276,
246162,26708,VVTS,10007,148,CON,1,0,07L,10.815,106.637001,24,69,,25R,10.8249,106.663002,32,249,
246161,26708,VVTS,12468,148,CON,1,0,07R,10.81149959564209,106.63700103759766,24,69,2431,25L,10.823699951171875,106.66999816894531,32,249,
233744,26727,VYMD,14003,200,CON,1,0,17,21.719999313354492,95.97440338134766,300,170.5,,35,21.68199920654297,95.981201171875,300,350.5,
233712,26717,VYNT,12000,500,CON,1,0,16,19.638901,96.193604,,157,,34,19.6085,96.2071,,337,
233724,26744,VYYY,11200,200,ASP,1,0,03,16.898000717163086,96.12689971923828,109,33.1,,21,16.91659927368164,96.1395034790039,65,213.1,275
299650,26745,WAAA,10171,148,ASPH,1,0,03,-5.092289924621582,119.54399871826172,,29,,21,-5.068029880523682,119.55799865722656,,209,
236580,26745,WAAA,8202,148,ASP,1,0,13,-5.054289817810059,119.54499816894531,44,130.5,,31,-5.068970203399658,119.56300354003906,36,310.5,
236518,26751,WADD,9790,148,ASP,1,0,09,-8.748709678649902,115.15399932861328,11,88,,27,-8.74763011932373,115.18099975585938,12,268,
299630,299629,WADL,10826,197,Asphalt,1,0,13,-8.749329566955566,116.26599884033203,307,127,,31,-8.765000343322754,116.28500366210938,319,307,
332203,332202,WAHI,10663,148,ASP,1,0,11,-7.900259,110.043411,,,,29,-7.910358,110.071091,,,
236534,26755,WAJJ,9842,148,ASP,1,0,12,-2.5711569786071777,140.50863647460938,292,127,,30,-2.5873069763183594,140.5302276611328,268,307,
236566,26760,WALL,8202,148,ASP,1,0,07,-1.27266,116.884003,12,67,,25,-1.26388,116.904999,12,247,
236506,26770,WAMM,8693,148,ASP,1,0,18,1.559340000152588,124.9260025024414,270,181.9,,36,1.5354000329971313,124.92500305175781,264,1.9,
236502,26779,WAOO,8202,148,ASP,1,0,10,-3.440310001373291,114.7509994506836,66,100.4,,28,-3.444390058517456,114.77400207519531,66,280.4,
236567,26784,WAPP,8202,148,ASP,1,0,04,-3.718250036239624,128.08099365234375,31,45.1,,22,-3.702270030975342,128.0970001220703,33,225.1,
236578,26788,WARQ,8530,148,ASP,1,0,08,-7.518630027770996,110.74500274658203,421,77.6,305,26,-7.513539791107178,110.76799774169922,380,257.6,325
236575,26789,WARR,9843,148,ASP,1,0,10,-7.377649784088135,112.77300262451172,11,99.3,,28,-7.382009983062744,112.80000305175781,8,279.3,
236556,26790,WARS,8399,148,ASP,1,0,13,-6.96732,110.369003,10,130,,31,-6.97813,110.382004,10,310,
237827,26808,WBGG,12402,151,ASP,1,0,07,1.4810080528259277,110.33690643310547,88,68,,25,1.493561029434204,110.36849975585938,75,248,320
237830,26814,WBKK,12402,148,ASP,1,0,02,5.918153,116.043152,10,23,1600,20,5.94963,116.056442,10,203,200
234429,26819,WBSB,12000,150,ASP,1,0,03,4.930009841918945,114.91999816894531,20,31.1,,21,4.958390235900879,114.93699645996094,72,211.1,
236508,26828,WIDD,13218,148,ASP,1,0,04,1.10745,104.107002,125,42,,22,1.13461,104.130997,69,222,
236558,26832,WIHH,9843,148,ASP,1,0,06,-6.27223014831543,106.87899780273438,79,65.5,,24,-6.260980129241943,106.90299987792969,84,245.5,650
341268,26835,WIII,9843,197,CONC,1,0,06,-6.113885879516602,106.64459228515625,24,,,24,-6.103841781616211,106.66976928710938,24,,
236530,26835,WIII,11812,197,CON,1,0,07L,-6.121059894561768,106.63899993896484,29,68.3,,25R,-6.10899019241333,106.66899871826172,21,248.3,
236529,26835,WIII,12008,197,CON,1,0,07R,-6.142600059509277,106.64399719238281,34,68.3,,25L,-6.130320072174072,106.67400360107422,27,248.3,
318100,309577,WIMM,12303,197,asphalt/concrete,1,0,05,3.6259,98.858597,21,,,23,3.649844,98.882462,21,,
236584,26847,WIOO,7380,98,ASP,1,0,15,-0.14131900668144226,109.4000015258789,3,157.7,,33,-0.16009700298309326,109.40799713134766,10,337.7,
236497,26858,WIPT,9843,148,ASP,1,0,15,-0.775647,100.276001,18,155,,33,-0.798186,100.286003,16,335,
236492,26862,WITT,9843,148,ASP,1,0,17,5.534570217132568,95.41809844970703,57,168.3,,35,5.512479782104492,95.42269897460938,65,348.3,
237821,26872,WMKI,5900,121,ASP,1,0,04,4.561870098114014,101.08699798583984,130,41.4,,22,4.574069976806641,101.0979995727539,102,221.4,
237812,26873,WMKJ,12467,150,ASP,1,0,16,1.6554800271987915,103.66400146484375,135,160,,34,1.6271300315856934,103.67500305175781,122,340,
237836,26874,WMKK,13530,197,PEM,1,0,14L,2.77828,101.702003,55,146,,32R,2.74739,101.722,70,326,344
237835,26874,WMKK,13288,197,PEM,1,0,14R,2.74351,101.697998,54,146,184,32L,2.71313,101.718002,48,326,
313641,26874,WMKK,12993,197,PEM,1,0,15,2.73817,101.6775,27,146,,33,2.7085,101.69733,27,326,
237813,26875,WMKL,12500,148,ASP,1,0,03,6.315509796142578,99.71890258789062,21,34,2000,21,6.343939781188965,99.7384033203125,29,214,
237823,26878,WMKP,10997,150,ASP,1,0,04,5.285900115966797,100.26699829101562,10,42.2,,22,5.308380126953125,100.28700256347656,11,222.2,
237815,26879,WMSA,12401,148,ASP,1,0,15,3.1453299522399902,101.54100036621094,70,149.7,,33,3.1158299446105957,101.55799865722656,89,329.7,
239231,26881,WPDL,6065,98,ASP,1,0,08,-8.548410415649414,125.51699829101562,17,77.2,201,26,-8.544699668884277,125.53299713134766,25,257.2,
310241,35138,WPOC,7218,148,ASP,1,0,09,,,,,,27,,,,,
238866,26887,WSSS,13123,197,PEM,1,0,02C,1.3288,103.985001,15,23,,20C,1.36213,103.999001,15,203,
238868,26887,WSSS,13123,197,PEM,1,0,02L,1.34897,103.977997,22,23,,20R,1.38241,103.991997,14,203,2429
238867,26887,WSSS,13123,197,ASP,1,1,02R,1.32239,104,16,23,,20L,1.35568,104.014,15,203,
335162,26901,YBBN,10827,197,ASP,1,0,01L,-27.383100509643555,153.10699462890625,,27,,19R,-27.356599807739258,153.1219940185547,,207,
233169,26901,YBBN,11680,148,ASP,1,0,01R,-27.403900146484375,153.1179962158203,12,27,197,19L,-27.37529945373535,153.13400268554688,11,207,
233170,26901,YBBN,5577,98,ASP,1,1,14,-27.357799530029297,153.12399291992188,11,147,197,32,-27.3705997467041,153.13299560546875,9,327,197
233197,26902,YBCG,8176,148,ASP,1,0,14,-28.1565,153.501007,21,150,,32,-28.17609,153.513184,13,330,1480
233198,26902,YBCG,1909,59,ASP,0,0,17,-28.164400100708008,153.5070037841797,17,184,,35,-28.169599533081055,153.50599670410156,13,4,
233141,26904,YBCS,3035,60,ASP,0,1,12,-16.880699157714844,145.7519989013672,9,126,,30,-16.885499954223633,145.75900268554688,6,306,
233142,26904,YBCS,10489,148,ASP,1,0,15,-16.865800857543945,145.74400329589844,9,156,,33,-16.89229965209961,145.75599670410156,7,336,
233305,26927,YBRM,7769,148,ASP,1,0,10,-17.945601,122.216003,56,105,,28,-17.951401,122.237999,22,285,
233385,26918,YBSU,9186,148,ASPH,1,0,13,-26.583214,153.074524,15,142,,31,-26.603226,153.09169,15,322,
233386,26918,YBSU,5896,98,ASP,1,1,18,-26.59440040588379,153.093994140625,11,194,,36,-26.61009979248047,153.08999633789062,11,14,
315120,315119,YBWW,9416,148,ASP,1,0,12,-27.548744201660156,151.7845001220703,1436,133,,30,-27.566299438476562,151.80599975585938,1509,313,
604096,516986,YE-0012,9843,148,ASP,1,0,18,,,,,,36,,,,,
233114,27043,YMAV,10000,148,ASP,1,0,18,-38.027237,144.469419,32,187,,36,-38.054413,144.464827,34,7,
233439,27058,YMHB,8947,148,ASP,1,0,12,-42.828223,147.501024,12,135,,30,-42.845586,147.5246,13,315,
233383,27066,YMML,7500,148,ASP,1,0,09,-37.66080093383789,144.82200622558594,395,94,,27,-37.66230010986328,144.84800720214844,407,274,
233384,27066,YMML,11998,197,ASP,1,0,16,-37.6531982421875,144.8350067138672,432,171,,34,-37.68579864501953,144.84100341796875,330,351,
233332,27096,YPAD,10171,148,ASP,1,0,05,-34.9585,138.516998,14,50,492,23,-34.940601,138.542999,20,230,
233333,27096,YPAD,5420,148,ASP,1,0,12,-34.9412,138.522003,14,123,,30,-34.949402,138.537003,14,303,
235263,27100,YPCC,7999,148,ASP,1,0,15,-12.181900024414062,96.8279037475586,5,149,,33,-12.200799942016602,96.83940124511719,7,329,
233105,27101,YPDN,11004,197,ASP,1,0,11,-12.40939998626709,130.86500549316406,96,109,,29,-12.41919994354248,130.8939971923828,81,289,
233106,27101,YPDN,5000,98,ASP,1,0,18,-12.40880012512207,130.87100219726562,96,180,,36,-12.422599792480469,130.87100219726562,91,360,
233153,27117,YPPD,8202,148,ASP,1,0,14,-20.374099731445312,118.62200164794922,23,138,,32,-20.39069938659668,118.63800048828125,33,318,
233154,27117,YPPD,3281,59,ASP,0,0,18,-20.37030029296875,118.62899780273438,27,183,,36,-20.37929916381836,118.62899780273438,29,3,
233339,27119,YPPH,11299,148,ASP,1,0,03,-31.95870018005371,115.95999908447266,67,14,,21,-31.928600311279297,115.96800231933594,43,194,
233340,27119,YPPH,7096,148,ASP,1,0,06,-31.94099998474121,115.95899963378906,58,59,,24,-31.93090057373047,115.97899627685547,58,239,
233266,27145,YSSY,8300,148,ASP,1,0,07,-33.94369888305664,151.16400146484375,16,74,,25,-33.9375,151.19000244140625,20,254,324
233268,27145,YSSY,7999,148,ASP,1,0,16L,-33.94960021972656,151.18800354003906,16,168,758,34R,-33.971099853515625,151.19400024414062,13,348,125
233267,27145,YSSY,12999,148,ASP,1,0,16R,-33.92940139770508,151.1719970703125,8,168,279,34L,-33.964298248291016,151.18099975585938,14,348,
233282,27175,YWLM,10033,148,ASP,1,0,12,-32.7871,151.8226,30,130,,30,-32.8049,151.8475,17,310,
269343,27188,ZBAA,12467,197,CON,1,0,01,40.058914,116.617599,94,353,,19,40.092834,116.612297,84,173,
235180,27188,ZBAA,12467,197,ASP,1,0,18L,40.089359,116.594833,110,173,,36R,40.055527,116.600166,99,353,
235179,27188,ZBAA,10499,164,PEM,1,0,18R,40.102112,116.569695,116,173,,36L,40.073479,116.574165,107,353,
330821,330820,ZBAD,11155,197,CON,1,0,01L,39.47129821777344,116.43099975585938,73,353,,19R,39.50170135498047,116.427001953125,83,173,
330824,330820,ZBAD,12467,197,CON,1,0,11L,39.516701,116.431,69,103,,29R,39.5089,116.473999,69,283,
330822,330820,ZBAD,12467,197,CON,1,0,17L,39.517906,116.396111,76,173,,35R,39.483929,116.401474,76,353,
330823,330820,ZBAD,12467,148,CON,1,0,17R,39.517075,116.387337,76,173,,35L,39.483101,116.3927,76,353,
348405,300513,ZBDS,10499,148,ASPH,1,0,13,39.499809,109.845497,4592,123,,31,39.484112,109.876694,4578,303,
355446,30876,ZBDT,9843,148,CON,1,0,14,40.07111,113.466469,3467,132,,32,40.053165,113.492752,3444,312,
235183,27189,ZBHH,11811,148,CON,1,0,08,40.84700012207031,111.80599975585938,3511,72,,26,40.855899810791016,111.84200286865234,3556,252,
235184,27189,ZBHH,11811,148,CON,1,1,08R,40.84479904174805,111.80400085449219,3511,72.7,,26L,40.854400634765625,111.84500122070312,3556,252.7,
235153,27190,ZBLA,8530,148,CON,1,0,09,49.20370101928711,119.80699920654297,2169,83.8,,27,49.206298828125,119.84300231933594,2152,263.8,
349122,30679,ZBOW,9186,200,Asphalt,1,0,13,,,,130,,31,,,,310,
235155,27191,ZBSJ,11155,148,CON,1,0,15,38.29359817504883,114.68699645996094,233,147.4,,33,38.267799377441406,114.70800018310547,220,327.4,
321346,27192,ZBTJ,10499,148,CON,1,0,16L,39.141475677490234,117.36260986328125,12,154,,34R,39.11545944213867,117.3785629272461,12,334,
235189,27192,ZBTJ,11811,197,CON,1,0,16R,39.13737487792969,117.33820343017578,8,155,,34L,39.11137390136719,117.35415649414062,8,335,
350734,300455,ZBYC,10499,148,CON,1,0,08,35.115196,111.014168,1252,78,,26,35.121193,111.0485,1253,258,
235190,27193,ZBYN,11811,148,CON,1,0,13L,37.7556,112.613998,2546,127,,31R,37.738201,112.642998,2575,307,
608317,27193,ZBYN,11811,148,CON,1,0,13R,,,,,,31L,,,,,
348941,30958,ZGDY,8530,148,,0,0,08,29.100069,110.430656,,,,26,29.105837,110.45652,,,
595240,27194,ZGGG,11155,148,CONC,1,0,01L,23.380692,113.275291,43,,,19R,23.41048,113.283333,43,,
235173,27194,ZGGG,11811,148,CON,1,0,01R,23.376801,113.283997,41,14,,19L,23.408413,113.291954,43,194,
322334,27194,ZGGG,12467,197,ASP,1,0,02L,23.375699996948242,113.30500030517578,45,14,,20R,23.408899307250977,113.31400299072266,45,194,700
235172,27194,ZGGG,12467,197,CON,1,0,02R,23.36949920654297,113.30799865722656,45,14,,20L,23.402799606323242,113.31700134277344,48,194,
602536,27194,ZGGG,11811,148,CON,1,0,03,23.354778,113.319145,48,14,,21,23.386316,113.327667,48,193,
335156,27195,ZGHA,12467,197,CON,1,0,18L,28.2091007232666,113.222412109375,212,177,,36R,28.174861907958984,113.2245101928711,188,357,
235193,27195,ZGHA,10499,148,ASP,1,0,18R,28.200899124145508,113.21900177001953,217,177,,36L,28.177400588989258,113.22000122070312,197,357,
235162,27196,ZGKL,10499,147,CON,1,0,01,25.2055,110.038002,571,5,,19,25.2307,110.040001,564,185,
235197,27197,ZGNN,10499,148,CON,1,0,05,22.5996,108.163002,417,47,,23,22.616301,108.181999,420,227,
315146,32400,ZGOW,10499,148,CON,1,0,04,23.542299,116.495003,,40,,22,23.5616,116.512001,15,220,
